Marca temporal,Correo,"¿Declara que he leído, comprendido y acepto íntegramente las Bases del Concurso...?",Nombres,Apellido paterno,Apellido materno,RUN,Fecha de nacimiento,Género,Correo,Número de contacto,Residencia del emprendedor o el emprendimiento,Provincia de residencia,Comuna de residencia,¿Está participando en un programa similar de formación para emprendedores?,Tipo de emprendimiento,Seleccione la alternativa que corresponda a su caso,"Nombre del emprendimiento, negocio, idea o proyecto",Nombre empresa o razón social,RUT de la empresa,Tipo de empresa,Sector o industria,Tamaño de la empresa,Descripción de mi idea o emprendimiento,Propuesta de valor,¿Ha levantado financiamiento público o privado?,Indique qué financiamiento ha levantado,¿Cree usted que su emprendimiento es innovación?,¿Por qué cree usted que su emprendimiento es innovador?,¿Qué tipo potencial innovador tiene su emprendimiento?,Tipo de innovación,Alcance de la innovación,Indicar el sector o área económica de impacto o interés,¿Qué resultados espera lograr los próximos 3 años para su emprendimiento?,"¿Qué impacto social, económico o ambiental espera generar con su emprendimiento en la región de Ñuble?",¿Cuántas personas conforman su equipo? (Incluyéndose usted),Describa a su equipo,Ingrese el enlace donde podamos ver su video,Contraseña (OPCIONAL)
2026/07/03 15:30:00,postulante30@ejemplo.cl,Sí,Valentina,Araya,Sepúlveda,10004110-0,1993-04-13,Femenino,postulante30@ejemplo.cl,+56 9 10029730,Mi emprendimiento y mi residencia son en Ñuble,Itata,Coelemu,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,Tecnología Bio,Tecnología Bio,76000390-0,Empresa Individual de Responsabilidad Limitada (EIRL),Tecnología,Micro,"Emprendimiento de tecnología enfocado en la región de Ñuble, con foco en Coelemu.",Solución diferenciada en tecnología que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Incremental,Proceso,Internacional,Tecnología,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Valentina Araya (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo30,
2026/07/04 16:37:00,postulante31@ejemplo.cl,Sí,Constanza,Fuentes,Soto,10004247-1,1994-05-14,Femenino,postulante31@ejemplo.cl,+56 9 10030721,Mi emprendimiento y mi residencia son en Ñuble,Punilla,Coihueco,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,ComercioÑuble Bio,ComercioÑuble Bio,76000403-1,Empresa Individual de Responsabilidad Limitada (EIRL),Comercio,Micro,"Emprendimiento de comercio enfocado en la región de Ñuble, con foco en Coihueco.",Solución diferenciada en comercio que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Incremental,Servicio,Nacional,Comercio,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Constanza Fuentes (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo31,
2026/07/05 9:44:00,postulante32@ejemplo.cl,Sí,Paula,González,Martínez,10004384-2,1995-06-15,Femenino,postulante32@ejemplo.cl,+56 9 10031712,Mi emprendimiento y mi residencia son en Ñuble,Diguillín,Pinto,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,EducaciónÑuble Andes,EducaciónÑuble Andes,76000416-2,Empresa Individual de Responsabilidad Limitada (EIRL),Educación,Micro,"Emprendimiento de educación enfocado en la región de Ñuble, con foco en Pinto.",Solución diferenciada en educación que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Incremental,Modelo de negocio,Regional,Educación,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,2,"Paula González (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo32,
2026/07/06 10:51:00,postulante33@ejemplo.cl,Sí,Constanza,Araya,Contreras,10004521-3,1996-07-16,Femenino,postulante33@ejemplo.cl,+56 9 10032703,Mi emprendimiento y mi residencia son en Ñuble,Punilla,San Nicolás,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,ComercioÑuble Sur,ComercioÑuble Sur,76000429-3,Sociedad de Responsabilidad Limitada (Ltda),Comercio,Micro,"Emprendimiento de comercio enfocado en la región de Ñuble, con foco en San Nicolás.",Solución diferenciada en comercio que resuelve un problema local concreto.,Sí,Capital Semilla CORFO,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Disruptiva,Modelo de negocio,Internacional,Comercio,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Constanza Araya (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo33,
2026/07/07 11:58:00,postulante34@ejemplo.cl,Sí,Carla,Pérez,Valenzuela,10004658-4,1997-08-17,Femenino,postulante34@ejemplo.cl,+56 9 10033694,Mi emprendimiento y mi residencia son en Ñuble,Diguillín,Pinto,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,TecnologíaÑuble Lab,TecnologíaÑuble Lab,76000442-4,Sociedad por Acciones (SpA),Tecnología,Micro,"Emprendimiento de tecnología enfocado en la región de Ñuble, con foco en Pinto.",Solución diferenciada en tecnología que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Incremental,Servicio,Regional,Tecnología,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,3,"Carla Pérez (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo34,
2026/07/08 12:05:00,postulante35@ejemplo.cl,Sí,Carla,Araya,Espinoza,10004795-5,1998-09-18,Femenino,postulante35@ejemplo.cl,+56 9 10034685,Mi emprendimiento y mi residencia son en Ñuble,Punilla,San Nicolás,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,TurismoÑuble Andes,TurismoÑuble Andes,76000455-5,Sociedad por Acciones (SpA),Turismo,Micro,"Emprendimiento de turismo enfocado en la región de Ñuble, con foco en San Nicolás.",Solución diferenciada en turismo que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Incremental,Modelo de negocio,Internacional,Turismo,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Carla Araya (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo35,
2026/07/09 13:12:00,postulante36@ejemplo.cl,Sí,Paula,Flores,Muñoz,10004932-6,1990-01-10,Femenino,postulante36@ejemplo.cl,+56 9 10035676,Mi emprendimiento y mi residencia son en Ñuble,Itata,Cobquecura,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,Turismo Norte,Turismo Norte,76000468-6,Sociedad por Acciones (SpA),Turismo,Micro,"Emprendimiento de turismo enfocado en la región de Ñuble, con foco en Cobquecura.",Solución diferenciada en turismo que resuelve un problema local concreto.,Sí,Capital Semilla CORFO,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Incremental,Producto,Nacional,Turismo,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,3,"Paula Flores (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo36,
2026/07/10 14:19:00,postulante37@ejemplo.cl,Sí,Paula,Martínez,Rojas,10005069-7,1991-02-11,Femenino,postulante37@ejemplo.cl,+56 9 10036667,Mi emprendimiento y mi residencia son en Ñuble,Diguillín,El Carmen,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,Manufactura Sur,Manufactura Sur,76000481-7,Sociedad de Responsabilidad Limitada (Ltda),Manufactura,Micro,"Emprendimiento de manufactura enfocado en la región de Ñuble, con foco en El Carmen.",Solución diferenciada en manufactura que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Disruptiva,Modelo de negocio,Nacional,Manufactura,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Paula Martínez (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo37,
2026/07/11 15:26:00,postulante38@ejemplo.cl,Sí,Cristóbal,Rojas,Valenzuela,10005206-8,1992-03-12,Masculino,postulante38@ejemplo.cl,+56 9 10037658,Mi emprendimiento y mi residencia son en Ñuble,Punilla,Ñiquén,"No, es el único programa al que he postulado",Idea,"Mi proyecto es solo una idea, me gustaría concretarlo",Agroindustria 活,,,,Agroindustria,Micro,"Emprendimiento de agroindustria enfocado en la región de Ñuble, con foco en Ñiquén.",Solución diferenciada en agroindustria que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Incremental,Modelo de negocio,Regional,Agroindustria,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Cristóbal Rojas (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo38,
2026/07/12 16:33:00,postulante39@ejemplo.cl,Sí,Rodrigo,Sepúlveda,Araya,10005343-9,1993-04-13,Masculino,postulante39@ejemplo.cl,+56 9 10038649,Mi emprendimiento y mi residencia son en Ñuble,Diguillín,San Ignacio,"No, es el único programa al que he postulado",Idea,"Mi proyecto es solo una idea, me gustaría concretarlo",Educación 活,,,,Educación,Micro,"Emprendimiento de educación enfocado en la región de Ñuble, con foco en San Ignacio.",Solución diferenciada en educación que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Marginal,Producto,Internacional,Educación,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,2,"Rodrigo Sepúlveda (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo39,
2026/07/13 9:40:00,postulante40@ejemplo.cl,Sí,Carla,Hernández,Martínez,10005480-0,1994-05-14,Femenino,postulante40@ejemplo.cl,+56 9 10039640,Mi emprendimiento y mi residencia son en Ñuble,Diguillín,El Carmen,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,EnergíaÑuble Bio,EnergíaÑuble Bio,76000520-0,Empresa Individual de Responsabilidad Limitada (EIRL),Energía,Micro,"Emprendimiento de energía enfocado en la región de Ñuble, con foco en El Carmen.",Solución diferenciada en energía que resuelve un problema local concreto.,Sí,Capital Semilla CORFO,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Marginal,Modelo de negocio,Regional,Energía,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Carla Hernández (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo40,
2026/07/14 10:47:00,postulante41@ejemplo.cl,Sí,Cristóbal,Torres,Torres,10005617-1,1995-06-15,Masculino,postulante41@ejemplo.cl,+56 9 10040631,Mi emprendimiento y mi residencia son en Ñuble,Diguillín,Bulnes,"No, es el único programa al que he postulado",Idea,"Mi proyecto es solo una idea, me gustaría concretarlo",Tecnología 活,,,,Tecnología,Micro,"Emprendimiento de tecnología enfocado en la región de Ñuble, con foco en Bulnes.",Solución diferenciada en tecnología que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Marginal,Modelo de negocio,Nacional,Tecnología,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Cristóbal Torres (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo41,
2026/07/15 11:54:00,postulante42@ejemplo.cl,Sí,Matías,Morales,Morales,10005754-2,1996-07-16,Masculino,postulante42@ejemplo.cl,+56 9 10041622,Mi emprendimiento y mi residencia son en Ñuble,Diguillín,Chillán,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,Educación 活,Educación 活,76000546-2,Sociedad de Responsabilidad Limitada (Ltda),Educación,Micro,"Emprendimiento de educación enfocado en la región de Ñuble, con foco en Chillán.",Solución diferenciada en educación que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Disruptiva,Producto,Regional,Educación,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,2,"Matías Morales (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo42,
2026/07/16 12:01:00,postulante43@ejemplo.cl,Sí,Felipe,Muñoz,Martínez,10005891-3,1997-08-17,Masculino,postulante43@ejemplo.cl,+56 9 10042613,Mi emprendimiento y mi residencia son en Ñuble,Punilla,Coihueco,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,Educación Bio,Educación Bio,76000559-3,Empresa Individual de Responsabilidad Limitada (EIRL),Educación,Micro,"Emprendimiento de educación enfocado en la región de Ñuble, con foco en Coihueco.",Solución diferenciada en educación que resuelve un problema local concreto.,Sí,Capital Semilla CORFO,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Incremental,Modelo de negocio,Internacional,Educación,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,2,"Felipe Muñoz (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo43,
2026/07/17 13:08:00,postulante44@ejemplo.cl,Sí,Ignacio,Flores,Flores,10006028-4,1998-09-18,Masculino,postulante44@ejemplo.cl,+56 9 10043604,Mi emprendimiento y mi residencia son en Ñuble,Punilla,Coihueco,"No, es el único programa al que he postulado",Idea,"Mi proyecto es solo una idea, me gustaría concretarlo",Educación Norte,,,,Educación,Micro,"Emprendimiento de educación enfocado en la región de Ñuble, con foco en Coihueco.",Solución diferenciada en educación que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Incremental,Proceso,Nacional,Educación,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Ignacio Flores (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo44,
2026/07/18 14:15:00,postulante45@ejemplo.cl,Sí,Antonia,Sepúlveda,Sepúlveda,10006165-5,1990-01-10,Femenino,postulante45@ejemplo.cl,+56 9 10044595,Mi emprendimiento y mi residencia son en Ñuble,Diguillín,Pemuco,"No, es el único programa al que he postulado",Idea,"Mi proyecto es solo una idea, me gustaría concretarlo",TurismoÑuble Andes,,,,Turismo,Micro,"Emprendimiento de turismo enfocado en la región de Ñuble, con foco en Pemuco.",Solución diferenciada en turismo que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Disruptiva,Producto,Nacional,Turismo,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Antonia Sepúlveda (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo45,
